Id,Date,RoomType,RoomTypeCode,RoomPrice,NumberOfBookings,NumberOfOccupents,DailyRevenue,RoomCategory,RoomCategoryCode,EventName,EventType,EventTypeCode,Demography,DemographyCode,EventShowtime,ShowTimeCode,EventLocation,EventLocationcode,HotelName,HotelLocation,Facilities
11,03/01/2022,Superior King Room,2,13900,33,1,458700,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
12,03/01/2022,Superior Twin Room,1,14800,28,2,414400,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
13,03/01/2022,Premium Double Room,3,19600,22,4,431200,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
14,03/01/2022,Executive Room,4,31700,16,5,507200,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
15,03/01/2022,Cilantro Suite,5,47800,9,6,430200,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
16,04/01/2022,Superior King Room,2,14400,34,1,489600,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
17,04/01/2022,Superior Twin Room,1,14500,27,2,391500,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
18,04/01/2022,Premium Double Room,3,21200,23,4,487600,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
19,04/01/2022,Executive Room,4,31700,15,5,475500,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
20,04/01/2022,Cilantro Suite,5,44100,6,6,264600,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
21,05/01/2022,Superior King Room,2,14100,34,1,479400,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
22,05/01/2022,Superior Twin Room,1,14200,31,2,440200,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
23,05/01/2022,Premium Double Room,3,21800,19,4,414200,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
24,05/01/2022,Executive Room,4,31000,22,5,682000,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
25,05/01/2022,Cilantro Suite,5,44700,12,6,536400,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
26,06/01/2022,Superior King Room,2,15000,30,1,450000,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
27,06/01/2022,Superior Twin Room,1,14100,31,2,437100,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
28,06/01/2022,Premium Double Room,3,19400,23,4,446200,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
29,06/01/2022,Executive Room,4,30000,22,5,660000,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
30,06/01/2022,Cilantro Suite,5,44500,9,6,400500,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
31,07/01/2022,Superior King Room,2,13500,28,1,378000,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
32,07/01/2022,Superior Twin Room,1,15200,28,2,425600,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
33,07/01/2022,Premium Double Room,3,21700,24,4,520800,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
34,07/01/2022,Executive Room,4,32100,17,5,545700,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
35,07/01/2022,Cilantro Suite,5,45300,12,6,543600,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
36,08/01/2022,Superior King Room,2,15000,34,1,510000,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
37,08/01/2022,Superior Twin Room,1,15200,31,2,471200,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
38,08/01/2022,Premium Double Room,3,21700,20,4,434000,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
39,08/01/2022,Executive Room,4,32900,15,5,493500,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
40,08/01/2022,Cilantro Suite,5,46500,9,6,418500,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
41,09/01/2022,Superior King Room,2,15300,34,1,520200,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
42,09/01/2022,Superior Twin Room,1,15400,31,2,477400,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
43,09/01/2022,Premium Double Room,3,20400,24,4,489600,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
44,09/01/2022,Executive Room,4,30700,15,5,460500,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
45,09/01/2022,Cilantro Suite,5,47000,10,6,470000,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
46,10/01/2022,Superior King Room,2,15100,30,1,453000,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
47,10/01/2022,Superior Twin Room,1,15400,32,2,492800,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
48,10/01/2022,Premium Double Room,3,19600,24,4,470400,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
49,10/01/2022,Executive Room,4,30400,20,5,608000,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
50,10/01/2022,Cilantro Suite,5,44400,7,6,310800,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
51,11/01/2022,Superior King Room,2,13900,34,1,472600,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
52,11/01/2022,Superior Twin Room,1,14000,31,2,434000,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
53,11/01/2022,Premium Double Room,3,20200,21,4,424200,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
54,11/01/2022,Executive Room,4,31600,16,5,505600,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
55,11/01/2022,Cilantro Suite,5,47000,9,6,423000,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
56,12/01/2022,Superior King Room,2,14300,32,1,457600,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
57,12/01/2022,Superior Twin Room,1,15300,31,2,474300,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
58,12/01/2022,Premium Double Room,3,20800,18,4,374400,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
59,12/01/2022,Executive Room,4,31300,16,5,500800,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
60,12/01/2022,Cilantro Suite,5,46700,12,6,560400,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
61,13/01/2022,Superior King Room,2,15400,33,1,508200,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
62,13/01/2022,Superior Twin Room,1,15500,36,2,558000,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
63,13/01/2022,Premium Double Room,3,19700,22,4,433400,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
64,13/01/2022,Executive Room,4,31200,20,5,624000,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
65,13/01/2022,Cilantro Suite,5,46300,11,6,509300,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
66,14/01/2022,Superior King Room,2,14600,28,1,408800,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
67,14/01/2022,Superior Twin Room,1,15100,28,2,422800,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
68,14/01/2022,Premium Double Room,3,22000,20,4,440000,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
69,14/01/2022,Executive Room,4,30300,17,5,515100,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
70,14/01/2022,Cilantro Suite,5,45100,9,6,405900,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
71,15/01/2022,Superior King Room,2,15200,26,1,395200,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
72,15/01/2022,Superior Twin Room,1,14300,32,2,457600,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
73,15/01/2022,Premium Double Room,3,22000,18,4,396000,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
74,15/01/2022,Executive Room,4,31300,21,5,657300,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
75,15/01/2022,Cilantro Suite,5,44600,11,6,490600,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
76,16/01/2022,Superior King Room,2,14200,32,1,454400,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
77,16/01/2022,Superior Twin Room,1,15500,27,2,418500,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
78,16/01/2022,Premium Double Room,3,19900,22,4,437800,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
79,16/01/2022,Executive Room,4,30400,18,5,547200,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
80,16/01/2022,Cilantro Suite,5,44200,12,6,530400,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
81,17/01/2022,Superior King Room,2,15400,26,1,400400,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
82,17/01/2022,Superior Twin Room,1,14000,28,2,392000,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
83,17/01/2022,Premium Double Room,3,21800,21,4,457800,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
84,17/01/2022,Executive Room,4,32000,21,5,672000,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
85,17/01/2022,Cilantro Suite,5,45200,6,6,271200,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
86,18/01/2022,Superior King Room,2,15400,31,1,477400,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
87,18/01/2022,Superior Twin Room,1,15100,28,2,422800,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
88,18/01/2022,Premium Double Room,3,20200,18,4,363600,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
89,18/01/2022,Executive Room,4,31200,20,5,624000,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
90,18/01/2022,Cilantro Suite,5,44500,6,6,267000,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
91,19/01/2022,Superior King Room,2,14600,27,1,394200,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
92,19/01/2022,Superior Twin Room,1,15200,27,2,410400,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
93,19/01/2022,Premium Double Room,3,20900,18,4,376200,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
94,19/01/2022,Executive Room,4,31600,17,5,537200,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
95,19/01/2022,Cilantro Suite,5,46300,12,6,555600,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
96,20/01/2022,Superior King Room,2,13700,33,1,452100,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
97,20/01/2022,Superior Twin Room,1,15300,32,2,489600,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
98,20/01/2022,Premium Double Room,3,20700,21,4,434700,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
99,20/01/2022,Executive Room,4,32300,18,5,581400,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
100,20/01/2022,Cilantro Suite,5,47400,6,6,284400,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
101,21/01/2022,Superior King Room,2,15100,30,1,453000,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
102,21/01/2022,Superior Twin Room,1,15100,30,2,453000,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
103,21/01/2022,Premium Double Room,3,21200,22,4,466400,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
104,21/01/2022,Executive Room,4,31400,16,5,502400,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
105,21/01/2022,Cilantro Suite,5,47200,12,6,566400,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
106,22/01/2022,Superior King Room,2,14600,31,1,452600,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
107,22/01/2022,Superior Twin Room,1,14300,27,2,386100,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
108,22/01/2022,Premium Double Room,3,20100,22,4,442200,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
109,22/01/2022,Executive Room,4,30200,20,5,604000,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
110,22/01/2022,Cilantro Suite,5,44700,11,6,491700,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
111,23/01/2022,Superior King Room,2,14700,30,1,441000,Single,1,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
112,23/01/2022,Superior Twin Room,1,13700,36,2,493200,Double,2,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
113,23/01/2022,Premium Double Room,3,21400,21,4,449400,Family,3,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"Balcony, Lake view, Garden view, Pool view, Pool with a view, Air conditioning, Patio, Flat-screen TV, Terrace, Sauna, Minibar, Free WiFi"
114,23/01/2022,Executive Room,4,32900,17,5,559300,Business,5,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
115,23/01/2022,Cilantro Suite,5,44400,12,6,532800,Luxury,4,0,0,,0,,0,,0,,Cinnamon Lakeside,Colombo,"City view, Pool with a view, Air conditioning, Flat-screen TV, Sauna, Minibar, Free WiFi"
